eclipse,ra,dec
12843,301.459154707909,76.4267329445589
28391,301.459154707909,76.4267329445589
29128,301.459154707909,76.4267329445589
13530,301.459154707909,76.4267329445589
34414,301.459154707909,76.4267329445589
13561,301.459154707909,76.4267329445589
12928,17.1320746203376,27.7145489563366
12928,17.1320746203376,27.7145489563366
13643,17.1320746203376,27.7145489563366
12928,17.1320746203376,27.7145489563366
13114,17.1320746203376,27.7145489563366
13414,17.1320746203376,27.7145489563366
1772,17.1320746203376,27.7145489563366
13414,17.1320746203376,27.7145489563366
6942,347.65406577792,20.9240013583135
6942,347.65406577792,20.9240013583135
6942,347.65406577792,20.9240013583135
34217,347.65406577792,20.9240013583135
6942,347.65406577792,20.9240013583135
6941,347.65406577792,20.9240013583135
34207,347.65406577792,20.9240013583135
29097,347.65406577792,20.9240013583135
29099,347.65406577792,20.9240013583135
12324,347.65406577792,20.9240013583135
29097,347.65406577792,20.9240013583135
4376,180.280617641726,-18.8068671722299
4373,180.280617641726,-18.8068671722299
4378,180.280617641726,-18.8068671722299
4474,180.280617641726,-18.8068671722299
46834,180.280617641726,-18.8068671722299
4377,180.280617641726,-18.8068671722299
9819,164.866711250502,29.4193995681913
20993,164.866711250502,29.4193995681913
31405,164.866711250502,29.4193995681913
10373,164.866711250502,29.4193995681913
20315,164.866711250502,29.4193995681913
5150,164.866711250502,29.4193995681913
31969,164.866711250502,29.4193995681913
10055,164.866711250502,29.4193995681913
20993,164.866711250502,29.4193995681913
20993,164.866711250502,29.4193995681913
9819,164.866711250502,29.4193995681913
31088,164.866711250502,29.4193995681913
9791,164.866711250502,29.4193995681913
13419,20.4386390214561,26.9466392823795
1772,20.4386390214561,26.9466392823795
13643,20.4386390214561,26.9466392823795
1772,20.4386390214561,26.9466392823795
13126,20.4386390214561,26.9466392823795
13635,20.4386390214561,26.9466392823795
13419,20.4386390214561,26.9466392823795
1772,20.4386390214561,26.9466392823795
12929,20.4386390214561,26.9466392823795
13643,20.4386390214561,26.9466392823795
13126,20.4386390214561,26.9466392823795
31975,183.933470835045,45.346636645471
9820,183.933470835045,45.346636645471
9820,183.933470835045,45.346636645471
15355,183.933470835045,45.346636645471
31384,183.933470835045,45.346636645471
15354,183.933470835045,45.346636645471
15354,183.933470835045,45.346636645471
10078,183.933470835045,45.346636645471
6873,339.806097784536,13.6365162892754
6873,339.806097784536,13.6365162892754
6874,339.806097784536,13.6365162892754
6873,339.806097784536,13.6365162892754
12918,339.806097784536,13.6365162892754
6874,339.806097784536,13.6365162892754
12934,339.806097784536,13.6365162892754
6873,339.806097784536,13.6365162892754
27809,339.806097784536,13.6365162892754
6874,339.806097784536,13.6365162892754
12188,339.806097784536,13.6365162892754
17866,339.806097784536,13.6365162892754
12187,339.806097784536,13.6365162892754
29089,339.806097784536,13.6365162892754
29089,339.806097784536,13.6365162892754
27809,339.806097784536,13.6365162892754
17979,339.806097784536,13.6365162892754
24069,53.7219911917347,22.8358364686995
19288,53.7219911917347,22.8358364686995
29263,20.0956418945324,39.8498446839942
44925,20.0956418945324,39.8498446839942
29264,20.0956418945324,39.8498446839942
18834,20.0956418945324,39.8498446839942
29109,19.7381128985622,-0.429735950114406
